V2;V1;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;file
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;01;Belgyógyászat;70;70;70;0;70;70;2880;2394;256;230;12;25550;21617;7,51;84,61;7,99;102
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;02;Sebészet;50;50;50;0;50;50;1662;1523;102;37;2;18250;11932;7,18;65,38;2,23;102
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;03;Traumatológia;45;43;43;2;45;41,8;1152;1066;69;17;0;15255;11694;10,15;76,66;1,48;102
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;04;Szülészet-nőgyógyászat;55;55;55;0;55;55;3084;3072;12;0;6;20075;15509;5,03;77,26;0;102
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;05;Csecs.- és gyermekgyógy.;28;28;28;0;28;28;1666;1660;6;0;0;10220;7242;4,35;70,86;0;102
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;06;Fül-orr-gégészet;20;20;20;0;20;20;1129;1117;11;1;0;7300;4927;4,36;67,49;0,09;102
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;09;Ideggyógyászat;30;30;30;0;30;30;539;460;45;34;0;10950;6739;12,5;61,54;6,31;102
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;11;Urológia;20;20;20;0;20;20;881;848;30;3;0;7300;5588;6,34;76,55;0,34;102
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;12;Onkológia, onkoradiológia;30;30;30;0;30;30;1367;1221;53;93;0;10950;8727;6,38;79,7;6,8;102
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;13;Fog- és szájsebészet;4;4;4;0;4;4;136;131;5;0;1;1460;625;4,6;42,81;0;102
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;15;Intenzív betegellátó;8;8;8;0;8;8;427;98;209;120;0;2920;2576;6,03;88,22;28,1;102
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;16;Fertőző betegellátó;25;25;25;0;25;25;728;617;52;59;0;9125;7127;9,79;78,1;8,1;102
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;18;Elmegyógyászat;30;30;30;0;30;30;726;571;149;6;0;10950;11345;15,63;103,6;0,83;102
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;"";Aktív betegell. oszt. együtt;415;413;413;2;415;411,8;16377;14778;999;600;21;150305;115648;7,06;76,94;3,66;102
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;01;Belgyógyászat;60;60;60;0;60;60;2027;1707;171;149;0;21900;16670;8,22;76,12;7,35;103
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;02;Sebészet;55;55;55;0;55;55;2565;2286;263;16;0;20075;17342;6,76;86,39;0,62;103
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;04;Szülészet-nőgyógyászat;34;34;34;0;34;34;1632;1617;15;0;0;12410;9529;5,84;76,78;0;103
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;05;Csecs.- és gyermekgyógy.;20;20;20;0;20;20;1157;1157;0;0;0;7300;4769;4,12;65,33;0;103
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;06;Fül-orr-gégészet;20;20;20;0;20;20;516;512;3;1;0;7300;2013;3,9;27,58;0,19;103
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;07;Szemészet;20;20;20;0;20;20;998;996;2;0;0;7300;4666;4,68;63,92;0;103
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;08;Bőr- és nemibeteg;20;20;20;0;20;20;283;254;29;0;0;7300;3794;13,41;51,97;0;103
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;09;Ideggyógyászat;30;30;30;0;30;30;905;792;65;48;0;10950;9069;10,02;82,82;5,3;103
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;12;Onkológia, onkoradiológia;20;20;20;0;20;20;682;600;3;79;0;7300;5811;8,52;79,6;11,58;103
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;14;Reumatológia;45;45;45;0;45;45;1345;1332;13;0;0;16425;16409;12,2;99,9;0;103
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;15;Intenzív betegellátó;6;6;6;0;6;6;386;95;215;76;0;2190;1798;4,66;82,1;19,69;103
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;"";Aktív betegell, oszt. együtt;330;330;330;0;330;330;12496;11348;779;369;0;120450;91870;7,35;76,27;2,95;103
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;01;Belgyógyászat;139;139;139;0;139;139;5427;4244;806;377;71;50735;43648;8,04;86,03;6,95;104
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;02;Sebészet;50;50;50;0;50;50;2207;1984;186;37;3;18250;14311;6,48;78,42;1,68;104
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;03;Traumatológia;40;40;40;0;40;40;1596;1486;91;19;21;14600;10796;6,76;73,95;1,19;104
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;04;Szülészet-nőgyógyászat;50;50;50;0;50;50;3037;3014;23;0;1171;18250;13607;4,48;74,56;0;104
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;11;Urológia;60;60;60;0;60;60;2963;2878;56;29;0;21900;16549;5,59;75,57;0,98;104
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;12;Onkológia, onkoradiológia;30;30;30;0;30;30;1148;1040;40;68;0;10950;5054;4,4;46,16;5,92;104
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;14;Reumatológia;30;30;30;0;30;30;961;958;2;1;0;10950;9807;10,2;89,56;0,1;104
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;15;Intenzív betegellátó;10;10;10;0;10;10;604;171;250;183;0;3650;2943;4,87;80,63;30,3;104
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;16;Fertőző betegellátó;44;44;44;0;44;44;1473;1404;48;21;0;16060;8661;5,88;53,93;1,43;104
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;18;Elmegyógyászat;75;75;75;0;75;75;1662;1067;561;34;0;27375;22565;13,58;82,43;2,05;104
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;"";Aktív betegell. oszt. együtt;528;528;528;0;528;528;21078;18246;2063;769;1266;192720;147941;7,02;76,76;3,65;104
0604;Szeged Megyei Jogú Város Önkormányzat Gyermekkórháza;05;Csecs.- és gyermekgyógy.;78;78;78;0;78;78;3032;3023;9;0;0;28470;21871;7,21;76,82;0;105
